,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
82,2019-04-11,103.55999755859375,104.79000091552734,103.37000274658203,104.6500015258789,1393200,0,0
83,2019-04-12,104.7699966430664,105.0,104.11000061035156,104.44999694824219,1422800,0,0
84,2019-04-15,104.69000244140625,107.0,104.52999877929688,106.80999755859375,2553600,0,0
85,2019-04-16,107.05000305175781,107.58999633789062,105.9000015258789,106.30999755859375,1212200,0,0
86,2019-04-17,106.47000122070312,108.18000030517578,105.86000061035156,108.0,1536600,0,0
87,2019-04-18,108.66000366210938,109.05000305175781,107.9800033569336,108.66999816894531,1625500,0,0
88,2019-04-22,108.69999694824219,109.27999877929688,107.93000030517578,108.19999694824219,1603900,0,0
89,2019-04-23,108.20999908447266,109.56999969482422,107.18000030517578,109.30000305175781,1895100,0,0
90,2019-04-24,109.56999969482422,110.72000122070312,109.3499984741211,110.20999908447266,1386100,0,0
91,2019-04-25,110.05999755859375,111.52999877929688,109.4000015258789,110.76000213623047,1293000,0,0
92,2019-04-26,110.41999816894531,110.63999938964844,109.16000366210938,109.94000244140625,1438900,0,0
93,2019-04-29,110.16000366210938,111.04000091552734,109.45999908447266,110.9800033569336,1771500,0,0
94,2019-04-30,111.4000015258789,111.61000061035156,110.62000274658203,111.27999877929688,1639600,0,0
95,2019-05-01,111.29000091552734,111.36000061035156,109.63999938964844,109.6500015258789,1010600,0,0
96,2019-05-02,109.75,110.19999694824219,108.22000122070312,109.44999694824219,1508000,0,0
97,2019-05-03,109.69999694824219,110.18000030517578,108.36000061035156,108.81999969482422,1529700,0,0
98,2019-05-06,107.68000030517578,108.80000305175781,106.23999786376953,108.62000274658203,1577000,0,0
99,2019-05-07,107.98999786376953,108.06999969482422,104.41999816894531,105.44999694824219,2368000,0,0
100,2019-05-08,104.7300033569336,106.70999908447266,104.66999816894531,106.11000061035156,1593000,0,0
101,2019-05-09,105.43000030517578,106.43000030517578,104.87000274658203,105.63999938964844,1525200,0,0
102,2019-05-10,105.41999816894531,105.41999816894531,102.97000122070312,104.0199966430664,2163700,0,0
103,2019-05-13,102.62000274658203,102.62000274658203,99.01000213623047,99.33999633789062,2739400,0,0
104,2019-05-14,99.29000091552734,99.77999877929688,98.5,98.75,2947800,0,0
105,2019-05-15,98.16000366210938,100.41999816894531,97.83000183105469,100.19999694824219,1870600,0,0
106,2019-05-16,100.51000213623047,102.25,100.4000015258789,100.88999938964844,2052800,0,0
107,2019-05-17,100.47000122070312,101.02999877929688,99.4000015258789,100.38999938964844,1877900,0,0
108,2019-05-20,99.9000015258789,100.41999816894531,99.16000366210938,100.05999755859375,1878200,0,0
109,2019-05-21,99.6500015258789,100.18000030517578,97.5999984741211,99.7699966430664,1961500,0,0
110,2019-05-22,99.88999938964844,101.22000122070312,99.55000305175781,99.56999969482422,1425100,0,0
111,2019-05-23,99.16000366210938,99.44000244140625,96.69000244140625,97.45999908447266,2659600,0,0
112,2019-05-24,98.12999725341797,98.7699966430664,97.51000213623047,98.41999816894531,2191300,0,0
113,2019-05-28,98.41999816894531,98.94999694824219,96.94000244140625,97.2699966430664,3131300,0,0
114,2019-05-29,96.26000213623047,96.9800033569336,95.11000061035156,95.31999969482422,3289700,0,0
115,2019-05-30,96.16999816894531,100.81999969482422,96.05999755859375,98.30999755859375,4004200,0,0
116,2019-05-31,97.56999969482422,101.7699966430664,97.0,101.58999633789062,3477900,0,0
117,2019-06-03,101.58999633789062,102.75,100.23999786376953,100.69000244140625,2242200,0,0
118,2019-06-04,101.18000030517578,101.91999816894531,100.04000091552734,100.69000244140625,2257000,0,0
119,2019-06-05,100.87000274658203,101.44999694824219,99.87999725341797,100.29000091552734,1806100,0,0
120,2019-06-06,100.18000030517578,102.5999984741211,100.18000030517578,102.22000122070312,1619900,0,0
121,2019-06-07,102.58000183105469,103.7300033569336,102.1500015258789,102.63999938964844,1782700,0,0
122,2019-06-10,102.69999694824219,104.41000366210938,102.36000061035156,103.77999877929688,2186900,0,0
123,2019-06-11,108.0,108.30000305175781,105.36000061035156,106.52999877929688,3479300,0,0
124,2019-06-12,106.1500015258789,108.16000366210938,106.1500015258789,108.05000305175781,1778900,0,0
125,2019-06-13,108.2699966430664,108.7300033569336,107.0999984741211,108.66000366210938,1672600,0,0
126,2019-06-14,108.9800033569336,111.12000274658203,108.93000030517578,110.30999755859375,3320700,0,0
127,2019-06-17,110.43000030517578,110.76000213623047,107.95999908447266,108.12999725341797,2148800,0,0
128,2019-06-18,109.25,110.11000061035156,108.66999816894531,109.47000122070312,1899200,0,0
129,2019-06-19,109.5,109.72000122070312,107.63999938964844,109.37000274658203,1870000,0,0
130,2019-06-20,110.5,111.05999755859375,109.43000030517578,110.79000091552734,1678200,0,0
131,2019-06-21,110.88999938964844,112.5,110.45999908447266,112.19000244140625,3037100,0,0
132,2019-06-24,112.30000305175781,113.37999725341797,111.75,112.70999908447266,2007800,0,0
133,2019-06-25,112.61000061035156,112.68000030517578,108.75,108.94999694824219,2392900,0,0
134,2019-06-26,109.0,110.05000305175781,108.33000183105469,109.06999969482422,1407900,0,0
135,2019-06-27,109.2300033569336,109.2300033569336,108.02999877929688,108.13999938964844,1155900,0,0
136,2019-06-28,107.9800033569336,108.56999969482422,106.58000183105469,107.38999938964844,3885900,0,0
137,2019-07-01,108.79000091552734,110.33999633789062,108.75,110.08999633789062,2107600,0,0
138,2019-07-02,110.08999633789062,110.11000061035156,107.91999816894531,109.08000183105469,1841900,0,0
139,2019-07-03,109.38999938964844,110.43000030517578,109.0199966430664,109.75,1149700,0,0
140,2019-07-05,108.9800033569336,109.94000244140625,107.91999816894531,109.63999938964844,1024100,0,0
141,2019-07-08,109.31999969482422,110.48999786376953,109.0,110.26000213623047,1642500,0,0
142,2019-07-09,109.83000183105469,111.80000305175781,109.2699966430664,111.48999786376953,2045100,0,0
143,2019-07-10,111.62000274658203,112.18000030517578,111.2300033569336,111.69000244140625,1468900,0,0
144,2019-07-11,112.12000274658203,112.48999786376953,110.66999816894531,110.97000122070312,1407200,0,0
145,2019-07-12,111.13999938964844,112.47000122070312,110.6500015258789,112.43000030517578,1209300,0,0
146,2019-07-15,112.47000122070312,112.87000274658203,111.5,111.75,1194900,0,0
147,2019-07-16,111.83999633789062,112.44000244140625,111.47000122070312,112.31999969482422,1210600,0,0
148,2019-07-17,112.44000244140625,112.66999816894531,111.54000091552734,112.25,1262900,0,0
149,2019-07-18,111.94000244140625,111.9800033569336,109.5199966430664,110.12000274658203,1473800,0,0
150,2019-07-19,110.5,110.5,108.1500015258789,108.19999694824219,1245700,0,0
151,2019-07-22,108.08999633789062,108.3499984741211,107.0,107.55000305175781,1348000,0,0
152,2019-07-23,107.5999984741211,107.7699966430664,104.31999969482422,105.48999786376953,2187500,0,0
153,2019-07-24,105.31999969482422,106.69999694824219,104.76000213623047,106.23999786376953,1192500,0,0
154,2019-07-25,106.18000030517578,106.8499984741211,105.52999877929688,106.55000305175781,1232300,0,0
155,2019-07-26,106.55000305175781,106.55000305175781,105.8499984741211,106.0999984741211,1504700,0,0
156,2019-07-29,106.01000213623047,106.22000122070312,103.54000091552734,103.83999633789062,1714200,0,0
157,2019-07-30,103.47000122070312,103.86000061035156,101.19000244140625,101.48999786376953,1806200,0,0
158,2019-07-31,101.5,102.94000244140625,100.05000305175781,101.75,2641100,0,0
159,2019-08-01,101.44999694824219,103.83000183105469,94.69999694824219,97.69000244140625,4272200,0,0
160,2019-08-02,97.43000030517578,98.93000030517578,96.33000183105469,96.87000274658203,2424500,0,0
161,2019-08-05,94.5999984741211,94.77999877929688,91.87999725341797,92.86000061035156,4313300,0,0
162,2019-08-06,92.88999938964844,93.66000366210938,91.73999786376953,92.72000122070312,2840600,0,0
163,2019-08-07,92.12000274658203,93.36000061035156,91.25,92.37999725341797,2237500,0,0
164,2019-08-08,92.26000213623047,93.18000030517578,91.62000274658203,92.91999816894531,1858400,0,0
165,2019-08-09,92.86000061035156,92.86000061035156,89.9000015258789,90.08999633789062,2153000,0,0
166,2019-08-12,89.91999816894531,91.33999633789062,89.41000366210938,91.0,2276700,0,0
